description,category,NER
i want to make coffee,DA, 0 Rqt 0 Act Obj
where am i,LR, Rqt Loc 0
what can i do here,AR, Rqt Rqt 0 Act Loc
prepare meal,DA, Act Obj
use refrigerator,DA, Act Obj
use fan,DA, Act Obj
use oven,DA, Act Obj
use stove,DA, Act Obj
i would like to wash sheets,DA, 0 0 0 0 Act Obj
i would like to watch television,DA, 0 0 0 0 Act Obj
wash sheets,DA, Act Obj
wash clothes,DA, Act Obj
cook dinner,DA, Act Obj
i would like to cook dinner,DA, 0 0 0 0 Act Obj
where is the coffee,DA, Rqt 0 0 Obj
rewind video,RV, Act Obj
forward,FF, Act
pause video,PV, Act Obj
skip,FF, Act
rewind,RV, Act
pause,PV, Act
fast forward,FF, 0 Act
play video,SV, Act Obj
resume,SV, Act
resume video,SV, Act Obj
negative,SN, Neg
positive,SN, Pos
yes,SN, Pos
no,SN, Neg
yes,SN, Pos
no,SN, Neg
shutdown app,SD, Act Obj
shut,SD, Act
hello,, Trigger
shut down app,SD, Act Act Obj
shut,SD, Act
negative,SN, Neg
positive,SN, Pos
correct,SN, Pos
incorrect,SN, Neg
fake,SN, 0
false,SN, 0
nay,SN, 0
wrong,SN, 0
yay,SN, 0
genuine,SN, 0
true,SN, 0
right,SN, Act
correct,SN, Pos
incorrect,SN, Neg
i want to make coffee,DA, 0 Rqt 0 Act Obj
where am i,LR, Rqt Loc 0
start camera,CC, Act Obj
stop camera,CC, 0 Obj
open camera,CC, Act Obj
close camera,CC, Act Obj
start camera,CC, Act Obj
disengage,CC, 0
display,CC, 0
start camera,CC, Act Obj
stop camera,CC, 0 Obj
open camera,CC, Act Obj
close camera,CC, Act Obj
i would like to wash sheets,DA, 0 0 0 0 Act Obj
i would like to watch television,DA, 0 0 0 0 Act Obj
wash sheets,DA, Act Obj
wash clothes,DA, Act Obj
cook dinner,DA, Act Obj
i would like to cook dinner,DA, 0 0 0 0 Act Obj
where is the coffee,DA, Rqt 0 0 Obj
rewind video,RV, Act Obj
pause video,PV, Act Obj
skip forward,FF, Act Act
shut down,SD, Act Act
turn off,SD, 0 0
return home,SD, 0 0
shutdown,SD, Act
power off,SD, 0 0
shut down system,SD, Act Act 0
system disable,SD, 0 0
disengage,SD, 0
what can I do here,AR, Rqt Rqt 0 Act Loc
activites,AR, 0
what activites are available,AR, Rqt 0 0 0
what activites are available at this location,AR, Rqt 0 0 0 0 0 Loc
what can I interactive with,AR, Rqt Rqt 0 0 0
what can I make,AR, Rqt Rqt 0 Act
is there water here,AR, 0 0 0 Loc
